1E-05 1,25E-11 2,5E-06
1,195393429411 0,158221136638318 0,232209877268136
1,21664583385478 0,163176193105544 0,234078031998565
1,23837705662161 0,168282742565581 0,235876916371307
1,26034937080202 0,173484428315227 0,237580308825557
1,28237658643063 0,178735388460098 0,239170499627191
1,30439098075477 0,184016987449885 0,240641375665961
1,32636989859812 0,189321071568046 0,24199098120875
1,34830759635523 0,194643480408138 0,243218811870032
1,3702046136596 0,199981572528528 0,244324849467024
1,39206378815878 0,205333287099017 0,245309221607421
1,41388876785978 0,210696788251802 0,246172082885987
1,43568345959354 0,216070329741131 0,246913574101986
1,45745182786343 0,221452202787857 0,247533808738761
1,47919782469338 0,226840715326974 0,248032868862581
1,50092536836378 0,232234183121068 0,248410804202364
1,52263834032155 0,23763092536988 0,248667632242412
1,54434058879081 0,243029262033802 0,248803338580479
1,56603593481225 0,248427511817965 0,248817877295901
1,58772817913459 0,25382399041493 0,248711171241772
1,60942110939097 0,25921700884931 0,248483112232611
1,63111850737059 0,264604871860147 0,248133561117906
1,65282415633814 0,269985876291633 0,247662347737723
1,67454184840719 0,275358309476039 0,247069270757974
1,69627539199462 0,280720447597465 0,246354097382709
1,71802861939189 0,28607055402689 0,245516562940122
1,73980539449396 0,291406877619438 0,244556370338017
1,76160962072947 0,296727650964776 0,243473189383396
1,78344524923953 0,302031088581246 0,242266655959643
1,80531628735523 0,307315385043858 0,240936371053514
1,8272268074288 0,31257871303568 0,239481899622632
1,8491809560773 0,317819221311336 0,237902769292646
1,87118296390365 0,323035032560483 0,236198468871367
1,89323715576617 0,328224241158008 0,2343684466652
1,91534796167523 0,333384910786441 0,232412108580865
1,93751992840445 0,338515071914563 0,230328815992829
1,95975773191423 0,343612719114501 0,228117883353838
1,9820661906974 0,348675808197557 0,22577857552253
2,00445028017068 0,353702253146643 0,223310104778141
2,02691514825253 0,358689922820515 0,220711627487682
2,04946613228692 0,363636637401732 0,217982240385648
2,07210877749564 0,368540164556544 0,215120976419984
2,09484885716879 0,373398215270532 0,212126800110717
2,11769239483474 0,378208439318613 0,208998602358904
2,14064568868911 0,382968420321955 0,205735194633258
2,16371533860758 0,387675670337113 0,202335302449515
2,18690827612132 0,392327623914086 0,198797558042911
2,21023179779943 0,396921631549787 0,195120492116468
2,2336936025615 0,401454952451103 0,191302524526461
2,25730183353902 0,405924746506924 0,187341953740546
2,28106512522123 0,410328065350613 0,18323694487243
2,30499265676457 0,414661842372634 0,178985516058128
2,32909421252152 0,418922881516296 0,174585522891029
2,35338025106438 0,423107844656832 0,170034640573422
2,37786198425431 0,427213237323256 0,165330343367718
2,40255146825157 0,431235392471735 0,160469880836849
2,42746170880101 0,435170451955347 0,155450250244336
2,45260678368777 0,439014345254299 0,150268164332296
2,47800198598003 0,442762764927399 0,144920013499217
2,50366399261633 0,446411138112521 0,139401821143591
2,52961106412961 0,449954593230521 0,133709190603116
2,55586328294095 0,453387920819316 0,127837241672086
2,58244283985942 0,456705527121755 0,121780534078517
2,60918952377427 0,459880017582101 0,115576228326694
2,63591795367205 0,462885142892149 0,109270294824422
2,66256205004552 0,465711674652218 0,102882870885019
2,68910125051693 0,468356601917425 0,0964239316175695
2,71553216065354 0,470819144543073 0,0898994512324692
2,74185780217415 0,473099302648385 0,0833137946633089
2,76808355518098 0,475197331139249 0,0766706436824599
2,79421563015068 0,477113548827876 0,0699733576818703
2,82026049406991 0,478848268170368 0,0632251169873556
2,84622465662398 0,480401768504209 0,0564289824941297
2,87211459267326 0,481774285068195 0,0495879229578108
2,8979367167135 0,482966003842567 0,0427048296201057
2,92369737750462 0,483977058609732 0,0357825257194092
2,94940286081383 0,484807528912227 0,0288237737952706
2,97505939566715 0,485457438399524 0,0218312819212204
3,00067316232235 0,485926753348982 0,014807709321593
3,02625030125068 0,486215381254085 0,00775567156794189
3,05179692283311 0,486323169414355 0,000677745450017599
3,07731911764588 0,486249903478479 -0,00642352642328329
3,10282296728487 0,485995305900024 -0,0135456312537599
3,12831455571599 0,485559034269229 -0,0206860818826686
3,15379998116269 0,484940679486489 -0,0278424127901497
3,17928536855872 0,484139763744045 -0,0350121762392803
3,20477688260979 0,483155738282433 -0,0421929385401926
3,23028074152229 0,48198798088733 -0,0493822764108406
3,25580323147094 0,480635793090822 -0,0565777734116747
3,28135072189268 0,479098397038633 -0,0637770164319988
3,30692968170971 0,477374931981511 -0,0709775922060959
3,33254669660243 0,475464450344708 -0,0781770838372247
3,35820848747159 0,473365913324243 -0,0853730673071242
3,3839219302518 0,471078185952137 -0,0925631079483524
3,4096940772632 0,468600031565064 -0,0997447568557134
3,4355321803172 0,465930105601517 -0,106915547211902
3,46144371582643 0,463066948641359 -0,114072990500903
3,48743641220885 0,460008978588257 -0,121214572580595
3,51351827992292 0,456754481879474 -0,128337749583474
3,53969764452794 0,453301603588137 -0,135439943611391
3,56598318322984 0,449648336259997 -0,142518538186243
3,59238396545518 0,445792507298552 -0,149570873414119
3,61890949809315 0,441731764678455 -0,156594240814667
3,64556977616597 0,437463560725583 -0,163585877760793
3,67237533983372 0,432985133651306 -0,170542961465616
3,69933733882041 0,428293486465843 -0,177462602443607
3,72646760557136 0,42338536281789 -0,184341837360866
3,75377873873026 0,418257219210822 -0,19117762117459
3,78128419887443 0,412905192924081 -0,197966818443638
3,80899841888952 0,407325064814247 -0,204706193669779
3,83693693192835 0,401512215974074 -0,211392400501077
3,86511652062515 0,39546157697514 -0,218021969594148
3,89355539217654 0,389167568092252 -0,224591294887838
3,92227338513358 0,382624028478684 -0,23109661798491
3,95088296973518 0,37592132328044 -0,237444198986215
3,97921043124165 0,369107706474522 -0,243593584201537
4,00720932354046 0,362203858386887 -0,249534659448341
4,03488024407272 0,355219354891066 -0,255268192580354
4,0622398069889 0,348159354326592 -0,260798464055113
4,08930900001172 0,341027263062092 -0,266130571053892
4,11610899207039 0,333825786898143 -0,271269491383777
4,14265975312191 0,326557342550875 -0,276219795903321
4,168979709616 0,319224217594151 -0,280985592514224
4,19508576330937 0,311828632317367 -0,285570547532458
4,2209934231653 0,304372763717974 -0,289977928633578
4,24671696000679 0,296858755093178 -0,294210650010094
4,27226955347931 0,289288720290533 -0,298271313664825
4,29766342282597 0,281664746066316 -0,302162245465128
4,32290994066679 0,273988893832968 -0,305885526140509
4,34801973139123 0,266263201249617 -0,309443017838984
4,37300275630427 0,258489683800739 -0,312836386906451
4,39786838756815 0,250670336397166 -0,316067123485149
4,42262547271138 0,242807134997336 -0,319136558434899
4,44728239119067 0,234902038237492 -0,322045877993857
4,47184710423811 0,22695698905943 -0,324796136521599
4,49632719901436 0,218973916326963 -0,327388267606783
4,52072992791598 0,210954736425085 -0,329823093772435
4,54506224374412 0,20290135483846 -0,332101334972127
4,56933083132866 0,194815667707701 -0,334223616037975
4,59354213610853 0,186699563363513 -0,336190473215011
4,61770239009361 0,178554923839958 -0,338002359894816
4,64181763557122 0,170383626368944 -0,339659651643382
4,66589374686938 0,162187544858632 -0,341162650603381
4,6899364504463 0,153968551359147 -0,342511589338493
4,71395134354101 0,145728517519202 -0,343706634177046
4,7379439115909 0,137469316037626 -0,34474788810332
4,76191954459781 0,129192822114118 -0,345635393237292
4,78588355260452 0,120900914903696 -0,346369132937086
4,80984118042699 0,112595478979634 -0,346949033552717
4,8337976217743 0,104278405809837 -0,347374965854739
4,85775803287726 0,0959515952518857 -0,347646746157036
4,88172754573793 0,0876169570722719 -0,347764137148971
4,90571128110559 0,0792764124955782 -0,34772684844856
4,92971436127976 0,0709318957897537 -0,347534536884948
4,95374192283733 0,0625853558939678 -0,347186806515344
4,97779912937929 0,0542387580959927 -0,346683208378523
5,0018911843919 0,0458940857665268 -0,346023239984047
5,02602334431829 0,0375533421585149 -0,345206344533423
5,0502009319391 0,0292185522800748 -0,344231909866347
5,07442935016464 0,0208917648504543 -0,343099267122081
5,09871409634672 0,0125750543493333 -0,341807689102697
5,12306077722569 0,00427052317069764 -0,340356388321301
5,14747512463747 -0,00401969610627779 -0,338744514714494
5,17196301211674 -0,0122934383156184 -0,33697115299396
5,19653047254638 -0,0205485031569418 -0,335035319607246
5,22118371702009 -0,0287826524849402 -0,332935959272269
5,24592915510483 -0,036993607416855 -0,330671941043833
5,27077341671377 -0,0451790452366453 -0,328242053863186
5,29572337582903 -0,0533365960717891 -0,325645001533217
5,32078617634725 -0,0614638393154536 -0,322879397052092
5,34596926036158 -0,0695582997631166 -0,319943756226555
5,37128039924222 -0,0776174434283342 -0,316836490472459
5,39672772793597 -0,0856386729973051 -0,313555898693794
5,42231978297494 -0,0936193228757952 -0,310100158112076
